mean_platform_revenue,mean_liquid_welfare,mean_effective_poa,mean_budget_utilization,mean_bid_to_value,mean_allocative_efficiency,mean_dual_cv,mean_no_sale_rate,mean_winner_entropy,warm_start_benefit,inter_episode_volatility,bid_suppression_ratio,cross_episode_drift,auction_type,auction_type_coded,objective,objective_coded,n_bidders,n_bidders_coded,cell_id,replicate,seed,auction_type_code,objective_code
7393.395706781565,4942.47173991487,1.0616514196660187,0.9999202053983203,1.965806710886538,0.6114222222222222,0.17326300788404772,0.0,1.3564805695312585,59.72542247250476,0.0001580618918844136,1.9658067106899573,-5.134006730495248e-05,second,-1,value_max,-1,4,1,1,21,421021,0,0
6775.309871047108,4435.89121398074,1.051908633979124,0.9999069004606814,1.913401972450302,0.6405333333333333,0.16451612009735572,0.0,1.3727924243578966,68.2471050844606,0.0001083089935183865,1.9134019722589617,-4.728703247115992e-05,second,-1,value_max,-1,4,1,1,22,421022,0,0
6285.112299335072,4217.320333151139,1.044314766764976,0.9999152438125857,1.9635893993234068,0.6129111111111112,0.1587422864595052,0.0,1.3566327954993023,78.33495741179286,9.459174166188767e-05,1.9635893991270479,3.0245568826191742e-05,second,-1,value_max,-1,4,1,1,23,421023,0,0
5748.479315775755,3834.5606336987785,1.0641270017349236,0.9999118021628942,1.9543816554886895,0.6718666666666666,0.15003728120922372,0.0,1.3626726079882727,71.70915230501123,0.0002592591504192191,1.9543816552932514,-0.00012040087128764693,second,-1,value_max,-1,4,1,1,24,421024,0,0
2164.9392260268914,3047.442000519906,0.8548594201100742,0.8301426592957533,0.9998905487902159,0.9999888888888888,0.07613594631650149,0.0,0.6892704221172709,93.77984979265193,0.007366588914323883,0.9998905486902269,7.308621253748507e-09,second,-1,utility_max,1,2,-1,2,0,422000,0,1
1628.9379825742617,2298.4345384173866,0.8544611530274764,0.8268185381588187,0.9998921462525993,1.0,0.06328326182247535,0.0,0.6832510042561334,122.91766336228943,0.007882700009083624,0.99989214615261,-3.75559659585207e-09,second,-1,utility_max,1,2,-1,2,1,422001,0,1
1662.2165087854914,2405.831032128902,0.8472286154034131,0.8005348882928257,0.9986891751149924,0.9978555555555556,0.08391074291730018,0.0,0.6402568293982831,100.24810668882628,0.009627181031342706,0.9986891750151236,-3.959076838349737e-07,second,-1,utility_max,1,2,-1,2,2,422002,0,1
2909.8984760059516,4526.503066985569,0.8305038733899291,0.7319546188828672,0.9896272185698342,0.9810444444444443,0.1672529709695608,0.0,0.5564478540014495,32.92794491138693,0.012445026950323021,0.9896272184708714,5.46513360514009e-06,second,-1,utility_max,1,2,-1,2,3,422003,0,1
1892.8825873842916,3578.683401173223,0.7650635561234114,0.5761206699686761,0.9998930784122695,1.0,0.04625168923290568,0.0,0.26976352643185736,47.07644998782848,0.009065887882005673,0.9998930783122801,2.799835397116092e-08,second,-1,utility_max,1,2,-1,2,4,422004,0,1
2159.257565896585,4149.569560391099,0.75958564696055,0.5657756368279802,0.9998940281280273,1.0,0.04757671487899718,0.0,0.2537318909898942,35.25597549107442,0.009104246374262943,0.9998940280280378,-2.381161060229445e-08,second,-1,utility_max,1,2,-1,2,5,422005,0,1
